trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,buildGratings.started,buildGratings.stopped,grating_angle.expStartVal,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,stim_grayScreen.stopped,display_gratings.stopped,grating_angle.endExpVal,participant,session,date,expName,psychopyVersion,frameRate,expStart,
79,0,79,0,395.4897450999997,,,,,395.47349729999405,395.4897450999997,397.49017979999917,397.49017979999917,400.4934337999948,400.4764217999982,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
80,0,80,0,400.4934337999948,,,,,400.4766877000002,400.4934337999948,402.4940201999998,402.4940201999998,405.4975317999997,405.48123699999996,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
81,0,81,0,405.4975317999997,,,,,405.48150849999365,405.4975317999997,407.4982014999987,407.4982014999987,410.5016189999951,410.48457969999436,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
82,0,82,0,410.5016189999951,,,,,410.48484719999396,410.5016189999951,412.50226989999646,412.50226989999646,415.5058394999942,415.48875369999587,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
83,0,83,0,415.5058394999942,,,,,415.4890205999982,415.5058394999942,417.5061529999948,417.5061529999948,420.50950770000054,420.49346030000015,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
84,0,84,0,420.50950770000054,,,,,420.4937271999952,420.50950770000054,422.5103611999948,422.5103611999948,425.5136631999994,425.49753619999683,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
85,0,85,0,425.5136631999994,,,,,425.49780230000033,425.5136631999994,427.5143920999981,427.5143920999981,430.517571999997,430.50067009999475,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
86,0,86,0,430.517571999997,,,,,430.5009432000006,430.517571999997,432.5184717999946,432.5184717999946,435.52203069999814,435.50570629999856,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
87,0,87,0,435.52203069999814,,,,,435.5059792999964,435.52203069999814,437.5723763999995,437.5723763999995,440.57595229999424,440.5589655999938,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
88,0,88,0,440.57595229999424,,,,,440.559236299996,440.57595229999424,442.5765891999981,442.5765891999981,445.579960199997,445.56286929999624,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
89,0,89,0,445.579960199997,,,,,445.5631357999955,445.579960199997,447.58064629999717,447.58064629999717,450.5840926999954,450.56698809999943,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
90,0,90,0,450.5840926999954,,,,,450.5672540999949,450.5840926999954,452.5846820000006,452.5846820000006,455.5881748999964,455.5711666999996,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
91,0,91,0,455.5881748999964,,,,,455.5714449999941,455.5881748999964,457.5886296999961,457.5886296999961,460.62675569999556,460.6100146999961,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
92,0,92,0,460.62675569999556,,,,,460.6106151999993,460.62675569999556,462.6260579999944,462.6260579999944,465.6295398999937,465.6123857999992,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
93,0,93,0,465.6295398999937,,,,,465.6126579999982,465.6295398999937,467.6301836999992,467.6301836999992,470.6334646999967,470.6179680999994,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
94,0,94,0,470.6334646999967,,,,,470.61823719999666,470.6334646999967,472.63420909999695,472.63420909999695,475.6378215999939,475.6219892999943,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
